game-design.game-feel.combat | ~ | How attacking and being hit feels: impact, weight, feedback.
game-design.ui-ux.reward-popups-get-in-the-way | - | A run of prompts to collect rewards, passes or currencies stands between the player and playing, and each one 
publishing.data-and-privacy.suspected-of-spying | - | The player reports behaviour they cannot explain - a permission prompt at install, background processor use, a
review.the-thumb-will-flip-when-one-thing-is-fixed | ~ | The reviewer states outright that the thumb is conditional and names the single fix that would reverse it - *"
publishing.monetisation-practice.asks-to-be-sold-it-outright | - | The reviewer offers to pay a plain price and asks the studio to drop the free-to-play model - *"just make skin
audio.voice-performance.badly-acted | - | The delivery itself is poor - flat, without emotion, or plainly badly performed. **The subject's fourth negati
review.copied-word-for-word-from-another-review | ~ | The review's text is taken from another review of the same game, whether or not the copier says so. **Records 
publishing.data-and-privacy.asks-for-a-credit-card-just-to-start | - | The player is asked for payment details as a condition of getting into the game - age verification, account se
publishing.availability.my-country-is-missing-from-the-in-game-list | - | A list inside the game - a country picker, a region selector - omits the player's country, and that omission c
marketing.discovery.came-for-a-crossover-with-something-i-already-like | ~ | The player names a crossover - a character, skin or event borrowed from a series, film or game they already fo
publishing.data-and-privacy.anti-cheat-runs-at-kernel-level | ~ | The reviewer names how deep into their machine the anti-cheat installs - kernel level, ring 0, a driver - and 
marketing.reputation.the-crossover-partner-should-not-have-lent-its-name | - | The reviewer addresses the **owner of the borrowed series**, not the studio, and says lending the name to this
live-ops.patch-quality.replaced-the-core-loop-with-a-different-one | - | An update swapped the shape of play itself - the run structure, the session format, the thing the player came 
production.launch-state.the-test-build-ran-better-than-the-release | - | The player played a demo, beta or test build, says it ran or played better than the shipped game, and offers t
community.developer-communication.the-updates-are-not-in-a-language-i-can-read | - | The studio publishes its patch notes, update posts or support replies only in its own language, so a player wh
narrative.world-and-setting.faithful-to-the-source-it-adapts | + | The game is built on a book, film or series the player already knows, and they say it gets that source right -
narrative.world-and-setting.does-not-feel-like-the-source-it-adapts | - | The game is built on a book, film or series the player already knows, and they say it fails to be that thing -
game-design.progression.cosmetic-rewards.too-few-to-choose-from | - | There are not enough cosmetic items in the game for the player to pick from. **The subject's other three modes
engineering.matchmaking.bots-fill-the-slots-before-people-can-join | - | The search for other players runs on a short timer, and when it expires the game puts AI in the empty seats an
review.warns-they-are-a-fan-of-the-source | ~ | The reviewer says outright that they are a fan of the book, film or series the game is built on, and offers th
review.the-thumb-was-flipped-from-its-first-verdict | ~ | The reviewer says outright that this thumb reverses a verdict they gave earlier, and the review now records th
community.social-features.getting-your-friends-in-works | + | The route for putting specific chosen people into a session does its job - a friend list, an invite, a store o
game-design.progression.build-and-customisation.most-classes-are-shut-out-of-a-weapon-type | - | A whole category of gear belongs to one class, so every other class is barred from it and their loadout is nar
game-design.ui-ux.does-not-show-what-is-left-to-earn | - | The game never lists the weapons, perks or rewards still waiting to be unlocked, so the player cannot see how 
marketing.reputation.plays-as-revenge-for-a-game-that-frightened-me | + | The reviewer names a game that made them the prey, and recommends this one because it hands the same fiction b
game-design.difficulty-tuning.harder-only-changes-the-numbers | - | Raising the difficulty adds no new enemy, place or rule - it only moves values: more enemy health, more enemy 
game-design.enemy-design.enemies-arrive-in-the-same-places-every-run | - | The attacks come from the same positions in the same order on every run, so the player learns the script and n
game-design.enemy-design.no-boss-to-fight | - | The game has no boss encounter where the player expected one, so the campaign or the mode has no peak to build
game-design.level-design.exploring-off-the-path-finds-nothing | - | The level invites the player to look around - side rooms, dead ends, places that read as holding a secret - an
community.user-created-content.the-studio-blocks-mods | - | Mods for the game exist or would work, and a decision by the studio stops the player using them - multiplayer 
game-design.progression.build-and-customisation.only-one-build-can-be-saved-at-a-time | - | The game keeps one saved build or loadout per character, so a player with two ways to play must rebuild by han
game-design.ai-teammates.no-personality-of-their-own | - | The bot companions are competent or not, and either way they are nobody - no voice, no quirks, no character th
narrative.world-and-setting.only-worth-it-if-you-already-love-the-source | - | The reviewer says the game repays a fan of the book, film or series and tells anyone who is not one to stay aw
game-design.enemy-design.they-come-one-at-a-time-instead-of-swarming | - | The enemies arrive in a queue or a straight line rather than closing from several sides, so a fight the game s
community.social-features.the-missing-chat-keeps-it-civil | + | The reviewer names the **absence** of voice or text chat as the reason the game is pleasant to be in, because 
narrative.world-and-setting.none-of-the-sources-characters-are-here | - | The game adapts a book, film or series and brings none of its people with it, so the player recognises the wor
community.crossplay-and-platform-mix.crossplay-made-the-connection-worse | - | Turning on play across platforms cost the player stability rather than players - lag, audio faults, crashes, d
game-design.difficulty-tuning.the-lower-settings-are-not-worth-playing | - | The game's interest sits at the top of the difficulty ladder, and everything below it is a formality - no tact
marketing.reputation.the-licence-fails-every-time-it-becomes-a-game | - | The reviewer says games made from this book, film or series have a record of being bad, and reads this one as 
art.atmosphere.your-own-character-gives-the-scare-away | - | A scripted line from the player's own character announces a threat before the player could have seen it, so th
narrative.world-and-setting.the-additions-do-not-belong-in-the-source | - | The adaptation adds weapons, classes or items the book, film or series never had, and the player names them as
game-design.world-interaction.a-button-prompt-stands-in-for-play | - | A scripted button prompt takes the place of playing - a quick time event to escape a grab, a timing minigame t
community.player-conduct.the-review-teaches-you-how-to-play | + | The reviewer spends part of the review teaching the game's own rules - a control the game never mentions, a co
engineering.netcode.a-disconnect-burns-what-you-spent | - | Dropping out consumes a limited item the player had already committed to the run - a challenge card, a key, a 
community.user-created-content.only-playable-after-modding | - | The player says the game did not work for them until they installed community content, and names what the mods
game-design.enemy-design.the-best-enemy-barely-appears | - | The roster holds an enemy the player rates highly and the game puts it in one or two places, so the idea is sp
game-design.pacing.the-pace-leaves-no-time-to-explore | - | The mission moves faster than the player can look around, so optional rooms, secrets and collectibles go unsee
game-design.progression.build-and-customisation.every-class-can-use-every-weapon | + | No weapon or attachment belongs to one role, so anything the player unlocks is usable on every character they 
engineering.bugs.the-audio-breaks-and-stays-broken | - | A sound fault starts and runs for the rest of the session - a weapon that loops its firing sound forever, or o
production.craftsmanship.looks-assembled-from-bought-parts | - | The reviewer says the game reads as store-bought pieces put together rather than made - a marketplace plug-in,
review.the-claim-comes-from-another-review | ~ | The reviewer states outright that a fact in their review was learned from someone else's review rather than fr
game-design.ui-ux.turning-the-display-off-made-it-better | + | The player switched part of the on-screen display off and says the game improved for it - better aim, more atm
marketing.promise-vs-reality.the-promise-was-quietly-deleted | - | The studio removed the record of a commitment - edited posts, pulled marketing, scrubbed a store page - before
game-design.enemy-design.you-cannot-learn-where-they-come-from | + | Replaying does not teach the player where the attacks will start, so the same level keeps its tension after ma
marketing.reputation.the-design-is-a-decade-behind-the-genre | - | The reviewer says the game would have been fine years ago and that the genre has moved past it, naming the tim
publishing.availability.a-third-party-key-site-is-cheaper | ~ | The reviewer names a key reseller as where the game should be bought, or where they bought it. **Deliberately 
review.rules-out-their-own-connection-first | ~ | The reviewer names their own hardware or line - gigabit, wired, fibre, no trouble in other games - to close of
game-design.progression.unlock-pace.every-unlock-is-a-sideways-swap | ~ | What the player unlocks changes a build rather than strengthening it - every gain is paired with a loss, and n
narrative.world-and-setting.an-iconic-thing-from-the-source-is-missing | - | The adaptation leaves out a thing the source is known for - a vehicle, a machine, a set piece the audience exp
game-design.co-op-design.the-small-team-is-the-right-size | + | The reviewer names a team smaller than the genre standard as a good thing - tighter, tenser, easier to fill. *
community.playing-with-friends.the-bots-are-better-company-than-the-strangers | - | The player says they would rather take the AI companions than the people matchmaking gives them. **Distinct fr
engineering.performance.no-modern-graphics-options | - | The game ships without the current generation's rendering options - upscaling, ray tracing, frame generation -
community.user-created-content.a-mod-adds-a-mode-the-studio-never-shipped | + | Community software gives the game a way to play it that was never built - virtual reality, a first-person view
publishing.dlc-and-editions.the-paid-tier-did-not-cover-what-came-next | - | The player bought the largest edition or the season pass and the content that followed was outside it. **Disti
game-design.world-interaction.the-people-in-the-hub-do-nothing | - | The place between missions is populated and inert - crew standing about, no conversation to start, no animatio
narrative.world-and-setting.carries-over-the-part-of-the-source-i-dislike | - | The adaptation is faithful to material from the book, film or series that **this** player rejects, and they na
game-design.ai-teammates.the-bots-have-no-role-of-their-own | - | The bot companions do not fill a class or a job - they are one fixed kit, or none at all - so the team the gam
game-design.ai-teammates.the-game-itself-warns-you-off-its-bots | - | The game tells the player not to rely on its own AI companions above a certain difficulty. **The studio agreei
review.says-to-watch-it-rather-than-play-it | - | The reviewer tells the reader to watch a playthrough instead of buying, usually because the story is the only 
production.content-variety.the-maps-should-have-been-generated | - | The reviewer says the hand-built levels are the ceiling on the game and names procedural generation as the fix
community.crossplay-and-platform-mix.crossplay-skips-the-platform-i-bought-it-on | - | Play across platforms exists and does not reach the store this player bought the game from, so they are outsid
storefront.measured-against-the-refund-window | ~ | The reviewer weighs the purchase against the platform's refund rule - telling the reader to test the game insi
publishing.monetisation-practice.free-items-still-sold-through-a-shop | - | Something the game gives away for nothing still has to be bought from a shop, one at a time, and often at rand
narrative.story.no-cutscenes-to-carry-the-story | - | The game has a story and no cinematics to deliver it, so what happens between missions is carried by radio cha
review.promotes-the-reviewers-own-curator-page | ~ | The review carries a link or an appeal to the reviewer's own Steam curator channel. **Deliberately neutral** -
review.answers-a-claim-made-in-another-review | ~ | The review engages a specific claim from the review pool - conceding it, rebutting it, correcting its reasonin
narrative.world-and-setting.an-iconic-thing-is-there-and-you-never-use-it | - | The adaptation puts a thing the source is known for **in front of the player** and never lets them use it, fig
game-design.progression.achievements.only-repetition-completes-the-set | - | Finishing the achievements requires playing the same content again several times rather than doing anything ne
engineering.matchmaking.cannot-join-a-match-in-progress | - | A session that has already begun is closed to everyone, so the only way in is to be there when it starts. **Di
audio.voice-performance.well-acted | + | The delivery itself is good - the reviewer praises the performance rather than the lines. **The missing invers
narrative.world-and-setting.the-monster-is-no-longer-frightening | - | The game adapts a book, film or series whose creature is the thing people remember being afraid of, and this v
marketing.reputation.i-want-a-sequel-to-this-one | + | The reviewer's verdict lands on wanting **this game again** - naming the sequel, asking for one, or saying the
game-design.enemy-design.the-enemies-fight-each-other | ~ | The game's hostile sides attack each other as well as the player, so a fight can be watched or used rather tha
narrative.world-and-setting.faithful-to-one-part-of-the-series | ~ | The source is a series with more than one instalment, and the reviewer names **which one** the game is built o
game-design.game-feel.controls.you-have-to-switch-input-device-to-play-well | - | The reviewer says the game is materially harder on one input device than another and tells the reader which on
engineering.performance.one-setting-causes-the-slowdown | - | The player finds a **single graphics or engine option** behind the poor framerate, and turning it down fixes i
review.says-the-recorded-playtime-is-wrong | ~ | The reviewer states outright that the hours Steam shows for them are not the hours they played, in either dire
game-design.level-design.the-spaces-are-scaled-too-small | - | The arena is too tight for the game's own verbs - there is no room to flank, dodge, or use the camera the game
review.says-how-much-of-the-genre-they-have-played | ~ | The reviewer states their own record in the genre before giving a verdict - how many of the comparable games t
community.developer-communication.replied-to-my-review | ~ | The studio answered **this review, on the store page**, and the reviewer says so. **Neutral, because the fact 
engineering.bugs.you-fall-through-the-floor | - | The player's own body passes through a surface that should hold it - falling through the floor or the map, sin
game-design.game-feel.combat.the-lock-on-holds-the-body-not-the-weak-point | - | The game's assisted targeting takes the shot away from where the player aimed it and puts it on the centre of 
game-design.ui-ux.cannot-skip-what-the-game-plays-at-you | - | The game holds the player through something with no input to give - a cutscene, an emote, a landing sequence, 
game-design.progression.build-and-customisation.the-class-decides-your-gender | - | Picking a role fixes the character's sex, so a player who wants a role and an identity cannot have both. **Dis
review.discloses-a-free-copy-from-the-studio | ~ | The reviewer states that the studio or publisher gave them the game, usually as a review key. **Neutral: it is
game-design.progression.achievements.do-not-track-what-you-actually-did | - | An achievement stays locked after the player did the thing, or unlocks when they did not. **The subject had fo
storefront.played-it-for-the-platform-reward | ~ | The reviewer says they bought or kept playing the game for something the **platform** awards - a badge, tradin
game-design.game-feel.combat.the-scenery-swallows-your-shots | - | A shot that visibly should pass is stopped by the level - a fence, a rail, a lamp post, an ankle-high ledge, o
review.used-a-cheat-to-get-through-it | ~ | The reviewer states that they modified the game - a trainer, a memory editor, an edited save - to get past som
marketing.promise-vs-reality.the-content-is-visibly-censored | - | The game draws the hiding on screen - a black void, a blur, a cut - and the reviewer names **the act of hiding
game-design.punishment-model.the-checkpoint-is-single-use | - | A checkpoint, skip or shortcut the player earned is consumed when used, so the second failure costs more than 
accessibility.memory-and-attention.relies-on-remembering-with-no-text | - | The game asks the player to remember what something is or does, and puts nothing on screen to say so - an icon
accessibility.memory-and-attention.unknown | ~ | Memory or mental load raised, no mode given.
community.player-conduct.strangers-team-up-instead-of-fighting | + | In a game where the other players could attack you, the reviewer says most of them choose to cooperate, trade,
community.player-conduct.a-third-player-swoops-on-your-fight | - | While the player is busy with one fight - usually with the machine enemies - another player arrives and takes 
community.player-conduct.players-camp-the-exit | - | Other players wait at extraction or spawn points to kill whoever arrives. **Distinct from `.trolls-and-griefer
engineering.matchmaking.dropped-into-a-match-already-underway | - | The player is placed into a session that has been running for some time - the map already looted, the exits al
community.player-conduct.says-friendly-then-shoots-you-in-the-back | - | Another player signals that they are friendly - says it in voice chat, waves, teams up for a while - and then 
community.player-conduct.not-knowing-who-to-trust-is-the-thrill | + | The reviewer says that never being sure whether the next player will help them or kill them is the reason the 
community.developer-communication.does-nothing-about-the-cheaters | - | The reviewer says cheating is visible and the studio does not ban, or bans the wrong people. **Distinct from `
game-design.replayability.the-runs-turn-into-stories-you-retell | + | The reviewer names the game as a maker of stories - things that happened in a run that they tell afterwards - 
engineering.bugs.you-get-stuck-on-the-scenery | - | The player's own body snags on the level - a rock, a ledge, *"nothing"* - and cannot move, and the game gives 
audio.voice-performance.the-voices-are-generated-and-it-shows | - | The reviewer says the voice work was made by a machine and that they can hear it. **Distinct from `.badly-acte
engineering.matchmaking.smaller-teams-are-matched-against-full-squads | - | A duo or a solo is put into the same match as full three-player squads, and the reviewer names the numbers as 
community.social-features.no-shared-place-between-runs | - | The space between runs is a menu, and the reviewer wants a place - somewhere players can walk, meet, and be se
engineering.matchmaking.sorted-by-how-you-play-and-it-works | + | The game matches players by how they behaved in past matches - how often they attacked other players - rather 
community.player-conduct.the-players-turned-hostile-after-launch | - | The reviewer says the other players were cooperative in the launch window and are not now - shoot-on-sight has
review.repeats-a-copied-meme-text | ~ | The review is a text that circulates across many games' review pages word for word - a copypasta - with the ga
game-design.co-op-design.the-shared-threat-turns-strangers-into-allies | + | A danger from the world - a big machine, a boss, a horde - makes players who could fight each other stop and w
engineering.access.banned-with-no-reason-given | - | The player's account was suspended or banned, they say they did nothing, and nobody told them what tripped it.
community.developer-communication.support-replied-with-a-form-letter | - | The player asked for help and got an answer that was written for nobody - a template, a copy-paste, a message 
game-design.level-design.players-spawn-on-top-of-each-other | - | Where the game puts arriving players is the complaint - they appear beside or behind players already there, so
game-design.ui-ux.managing-the-inventory-is-a-chore | - | Sorting, stacking, storing and restocking what the player carries takes time they resent - the stash is always
engineering.matchmaking.wants-players-sorted-by-how-they-play | - | The reviewer asks for matchmaking that separates players by conduct - who shoots first, who hunts players, who
narrative.world-and-setting.the-rules-contradict-the-story | - | What the game rewards the player for doing is the opposite of what its own fiction says the player is there to
audio.sound-effects.cannot-tell-above-from-below | - | The sound places a source left, right, near or far and not up or down, so the player hears someone clearly and
game-design.co-op-design.wants-a-price-on-attacking-other-players | - | The reviewer asks for a rule that makes attacking another player cost something - a rogue flag, a bounty, a re
game-design.punishment-model.too-afraid-to-use-the-good-gear | - | The cost of dying is high enough that the player keeps their best equipment in the stash and plays with the ch
game-design.power-balance.the-gear-gap-decides-the-fight | - | In a fight between players, whoever brought the higher tier of equipment wins, and the reviewer names the tier
game-design.world-interaction.interacting-freezes-you-and-that-is-when-you-die | - | Looting, reviving, healing or opening something holds the player in an animation they cannot break, and the re
community.player-conduct.slurs-and-abuse-over-voice-chat | - | Other players use the game's own voice or text channel to hurl slurs and hateful insults at this player, and t
engineering.matchmaking.shooting-back-once-sorts-you-with-the-killers | - | The game sorts players by how often they attack other players, and the reviewer says it cannot tell defence fr
game-design.progression.unlock-pace.the-optional-reset-is-not-worth-what-it-costs | - | The game offers a voluntary wipe - a prestige, an expedition - that trades everything the player built for a s
game-design.power-balance.whoever-shoots-first-wins | - | A fight between players is over before the second player can respond - the time to kill is so short that the f
community.player-conduct.solo-queue-is-friendly-and-squads-shoot-on-sight | ~ | The reviewer says how other players behave depends on the team size they queued with - alone, people talk and 
engineering.matchmaking.the-fighters-lobbies-are-where-the-cheaters-are | - | The game sorts players by how often they attack other players, and the reviewer says the cheaters are concentr
game-design.modes.the-pvp-feels-bolted-onto-a-pve-game | - | The reviewer says the game was built or announced as a co-op game against the world and had player-versus-play
engineering.matchmaking.killers-play-nice-to-get-sorted-in-with-the-peaceful | - | The game sorts players by how they behaved in past matches, and the reviewer says hunters game it - behave for
community.developer-communication.what-a-cheater-took-is-never-given-back | - | The player lost gear or progress to a cheater or an exploiter, reported it, and the studio returned nothing. T
game-design.co-op-design.wants-hostile-players-flagged-before-they-strike | - | The reviewer asks the game to show who is hostile before contact - a mark on the player, a meter for the lobby
engineering.matchmaking.the-conduct-sorting-used-to-work-and-no-longer-does | - | The reviewer says the matching by conduct once put them with players like themselves and has stopped doing so 
live-ops.patch-quality.the-studio-wiped-what-i-had-earned | - | The studio took away currency, items or progress the player had, on purpose and across the player base - a wip
engineering.matchmaking.peaceful-players-still-land-with-the-killers | - | The game sorts players by how often they attack other players, and the reviewer - who says they attack nobody 
game-design.game-feel.combat.makes-you-feel-superhumanly-strong | + | The reviewer names feeling far stronger than what they fight - cleaving through crowds of weaker enemies, shru
engineering.performance.runs-the-machine-hot | - | The game drives the CPU or GPU hotter than the player expects for what is on screen - at low settings, or sitt
game-design.role-design.one-of-each-class-so-someone-loses-theirs | - | A team may hold each class only once, so when two players want the same one, one of them is made to play somet
game-design.enemy-design.ranged-enemies-hit-you-from-anywhere-while-you-are-swarmed | - | The enemies that shoot are the problem: tankier than the crowd, aimed at the player, landing from any distance
game-design.game-feel.combat.never-makes-you-feel-as-strong-as-the-fiction-says | - | The game casts the player as something far stronger than what it fights and the play does not deliver it - the
game-design.power-balance.health-does-not-come-back-between-fights | - | Damage taken stays taken: no regeneration, no reliable heal on a kill or an execution, and the pickups are too
review.promotes-the-reviewers-own-stream-channel | ~ | The review carries a link to the reviewer's own stream or video channel - Twitch, YouTube - either as the whol
community.developer-communication.the-studio-does-not-play-its-own-game | - | The reviewer says outright that the people who made the game do not play it, and offers the game's own state -
community.crossplay-and-platform-mix.crossplay-covers-one-mode-and-not-the-other | - | Play across platforms exists for one mode and is missing from another - here the co-op has it and the player-v
art.animation.the-finishing-moves-repeat-until-they-are-stale | - | The kill or execution animations are few enough that the player sees the same one again and again, in a game w
marketing.reputation.old-fashioned-and-better-for-it | + | The reviewer says the game plays like games from an earlier time - a complete, plain game with no live-service
live-ops.patch-quality.the-updates-add-to-what-i-did-not-come-for | - | Updates keep arriving, but they go to a part of the game the reviewer does not value - cosmetics, a mode they 
game-design.game-feel.combat.the-parry-fails-when-you-need-it | - | The block, parry or counter the combat is built around does not land reliably - it fails against more than one
review.says-they-are-the-target-audience | ~ | The reviewer states outright that the game is aimed at people like them - a fan of the genre, the licence, the
review.clears-the-game-and-blames-their-own-setup | ~ | The reviewer had a technical problem - crashes, a low frame rate - and says outright that the cause was their 
marketing.positioning.made-for-its-fans-and-better-for-it | + | The reviewer praises the game for being aimed squarely at the people who already wanted it - the licence's fan
game-design.role-design.the-same-class-is-weaker-in-one-mode-than-another | - | A class, or one piece of its kit, behaves worse in one mode of the game than in the others - the jump pack tha
game-design.modes.the-story-mode-leaves-out-the-class-system | - | The campaign is played as one fixed character while the rest of the game is built on classes, builds and progr
game-design.replayability.no-way-to-replay-one-chapter | - | The campaign has no chapter select, mission list or reloadable checkpoint, so a finished mission, a section or
review.written-in-the-games-own-voice | ~ | The review's prose is written as a character of the game's fiction - an Ork, a Guardsman, a tech-priest - for 
game-design.enemy-design.a-whole-loadout-cannot-hit-it | - | One enemy sits out of reach of a whole category of loadout - it flies above melee, it hovers out of range, abi
game-design.game-feel.controls.take-hours-to-get-used-to | - | The controls work, but the player says outright that it took them hours - or a whole campaign - before the lay
engineering.matchmaking.cannot-start-your-own-lobby | - | The player can only join sessions the game picks for them; there is no way to open a lobby of their own and ha
game-design.progression.build-and-customisation.you-can-look-how-you-want | + | The player praises the freedom to make their character look the way they want - their own chapter, colours, he
publishing.dlc-and-editions.paid-content-still-has-to-be-earned | - | The player bought an edition, a pass or an add-on and the items inside it are still locked behind in-game curr
art.animation.the-finishing-moves-are-a-highlight | + | The kill or execution animations are named as one of the best things in the game - what makes the player feel 
game-design.game-feel.controls.the-default-layout-is-awkward | - | The shipped binding puts an action somewhere the player did not expect or cannot reach comfortably - a parry o
game-design.pacing.the-level-pads-itself-with-lifts-and-walks | - | Inside a mission the game fills time with scripted waiting that is not play - a lift ride, a slow door, a heav
game-design.game-feel.combat.forces-the-melee-on-you | - | The design pushes the player into close combat, or into switching between sword and gun, whether or not that i
marketing.reputation.praised-for-simply-being-a-good-game | + | The reviewer's whole account of the game's success is that the studio set out to make a good game and did - no
game-design.randomness.the-thing-you-need-may-never-roll | - | The dungeon, boss, weapon or item the player needs for a build or a goal is placed by chance, so they reroll t
game-design.progression.unlock-pace.the-cap-stops-you-short | - | Progression has a hard ceiling - a level cap, a point cap, a trait cap - and the player reached it with more t
narrative.story.the-ending-lets-it-down | - | The story held up until its close and the ending lands empty - no conclusion, nothing the fight turned out to 
engineering.performance.only-runs-right-with-upscaling-on | - | The game only reaches a playable frame rate, or only looks acceptable, with DLSS, FSR or another upscaler swit
game-design.new-player-experience.no-need-to-have-played-the-earlier-games | + | A sequel or a series entry that a newcomer can pick up without the earlier games - the story catches them up, 
game-design.enemy-design.attacks-land-beyond-their-visible-reach | - | An enemy's attack connects before or outside where its animation shows it - the swing hits before the arm arri
engineering.netcode.the-guest-fights-at-a-disadvantage | - | In a session hosted on another player's machine, the guest's timing is worse than the host's - dodge windows l
game-design.ui-ux.no-way-to-save-a-loadout | - | The game has enough gear, rings, skills or classes that players switch builds often, and gives them no way to 
game-design.progression.unlock-pace.a-new-weapon-starts-the-grind-again | - | A weapon, class or item the player has not used yet must be levelled from nothing before it can compete with t
review.filled-in-from-a-template | ~ | The review is a pre-made form - a checklist of categories with one box ticked in each, or a generated score ca
game-design.level-design.the-best-things-are-hidden-behind-a-guide | - | The weapons, classes or areas that matter are placed behind secrets so obscure that a player following the gam
game-design.power-balance.upgrading-makes-the-game-harder | - | The enemies scale off the player's upgrades, so raising a weapon or a level makes the enemies hit harder or ta
game-design.enemy-design.one-hit-kills | - | A boss, trap or attack takes the whole health bar at once, so the fight is decided by one mistake rather than 
engineering.performance.lowering-the-settings-does-not-help | - | The graphics options exist and turning them down changes little or nothing - the frame rate is the same at low
production.content-variety.the-generation-adds-nothing | - | The levels are procedurally generated and the reviewer says the generation buys nothing - the rerolled version
engineering.bugs.the-reward-never-arrives | - | The player did the thing and the game failed to hand over what it owed - the boss dropped nothing, the campaig
engineering.matchmaking.no-ping-shown-before-you-join | - | The game gives the player no way to see or filter the connection quality of a session before joining it - no p
engineering.access.will-not-start-at-all | - | The game never gets past launch on the player's machine - an error dialog, a crash before the menu, a black sc
game-design.game-feel.controls.stuck-in-aim-down-sights | - | Once the player aims, the game holds them in the aimed view past the point they let go - a toggle that will no
game-design.co-op-design.a-guest-can-decide-your-campaign | - | A player who joins the host's world can commit the host's campaign to something the host did not choose - answ
narrative.story.your-choices-change-the-story | + | The reviewer names a decision they made - a dialogue answer, a quest branch, a side taken - as having changed 
art.visual-direction.drab-and-colourless | - | The palette is grey, brown or washed out and the reviewer names the missing colour as the fault - the places r
review.written-in-a-language-other-than-its-steam-tag | ~ | The review's text is in a language other than the one Steam filed it under - a Chinese or Russian review insid
game-design.enemy-design.the-boss-hides-behind-its-adds | - | The boss fight's difficulty comes from the smaller enemies it keeps spawning rather than from the boss itself,
game-design.solo-viability.some-rewards-need-a-second-player | - | A subset of the game's rewards - a puzzle, an item, a door - can only be obtained with another player present,
game-design.enemy-design.attacks-are-timed-to-bait-your-dodge | - | Enemy attacks hold, delay or vary their timing so that a dodge on instinct lands in the swing, and the reviewe
game-design.game-feel.combat.healing-is-too-slow-for-the-pace | - | The heal - a relic, a flask, a kit - takes long enough to use that the player is hit or killed during it, and 
community.user-created-content.a-tool-exists-to-beat-the-reroll | ~ | The reviewer names a community-made tool whose purpose is to shortcut the game's own randomness - a world anal
engineering.stability.only-stable-with-the-cpu-slowed-down | - | The player keeps the game running only by **slowing their own processor** - underclocking or a tuning utility 
game-design.readability.the-final-fight-cannot-be-read | - | The rest of the game reads fine, but the **last fight** throws so many effects, arena changes and overlapping 
game-design.level-design.invisible-walls-block-the-way | - | The player runs into **unseen barriers** where the space looks open, and calls them arbitrary. **Distinct from
game-design.level-design.the-jumping-sections-do-not-belong-in-a-shooter | - | The level asks the player to **jump between platforms** in a game they bought to shoot, and the jumping is the
game-design.level-design.slow-doors-and-lifts-pad-the-run | - | The player names **waiting on doors and lifts** as dead time the level adds to every run. **Distinct from `pro
game-design.game-feel.combat.the-stamina-runs-out-too-fast | - | The **stamina pool empties** after one or two actions, so the player cannot dodge, sprint or swing as often as
game-design.randomness.the-roll-decides-which-content-you-see | - | Whole **areas, bosses or quest lines** exist that a run may never show, and the player resents having to rerol
game-design.level-design.one-area-drags-the-rest-down | - | The player names **one area** as the part that sours an otherwise good game - the place they dread, the point 
engineering.platform-support.no-cloud-save | - | The game keeps its save **only on the local disk**, and the player found out when a save was lost. **Distinct 
game-design.game-feel.combat.melee-has-no-parry-or-block | - | The player wants to **parry or block** at melee range and the game gives no such move, so close fighting is do
narrative.story.the-game-talks-too-much | - | The player says the game **talks more than they want to listen** - dialogue, lore dumps, characters that will 
engineering.bugs.equipped-things-vanish-or-unequip-themselves | - | A mod, trait, ring or amulet the player had **on** is gone or switched off the next time they look, with no ac
marketing.positioning.the-sequel-changes-too-little | - | The player came for a step up from the earlier game and found **the same game again**. **Distinct from `reputa
game-design.co-op-design.a-dead-player-spectates-until-the-next-checkpoint | - | A downed player who is not revived **watches the others play** - for minutes, sometimes a whole boss - until t
publishing.dlc-and-editions.the-guest-can-play-the-add-on-but-not-keep-its-loot | - | One owner lets the group into the add-on, but a player who does not own it **cannot use the weapons and gear**
game-design.level-design.the-levels-are-too-small | - | The maps are small enough that a few runs teach every layout, and the reviewer wants **bigger levels with more
engineering.netcode.the-host-leaving-ends-everyones-run | - | When the player hosting the session drops, quits or crashes, **every other player's run ends with them** - the
game-design.level-design.the-way-onward-is-hard-to-find | - | The thing that moves the run forward - a teleporter, an exit, an extraction point - is hard to locate, and the
engineering.stability.a-crash-loses-the-run | - | One crash ends a run the player had hours in, and the reviewer names the run as the cost - the stage reached, 
publishing.ownership.the-new-owner-is-accepted | + | The studio or the series changed hands and the reviewer says the change is fine - the old team was done, or th
publishing.data-and-privacy.a-consent-wall-was-added-after-purchase | - | The player bought and played the game, and a later update put terms in front of it that must be accepted befor
game-design.progression.unlock-pace.the-strongest-options-are-locked-behind-challenges | - | The items or abilities that matter most sit behind challenge unlocks - hard, long, or only practical on the ea
game-design.pacing.the-early-stages-of-every-run-are-dull | - | The first stages of each run are a chore - too easy, too weak, nothing interesting happening - and only become
game-design.pacing.the-clock-is-the-thrill | + | A timer or a difficulty that climbs with time is named as what makes the run exciting - the urgency, the frant
community.user-created-content.mods-fix-what-the-patch-broke | - | A studio update broke something and community mods repaired it before the studio did, so the game is only righ
game-design.new-player-experience.stuck-with-the-worst-starter | - | The one character or kit the game hands a new player is the hardest or the dullest on the roster, and hours pa
game-design.pacing.the-action-never-stops | + | The pressure never drops from the first second to the last, and the reviewer names that as the draw - the hour
