# Single-sighting backlog, built from tag-tree-open-gaps.md on 2026-09-24 (Rule C). Size bound: one row per parked note, ~500 rows.
# status: open | built rNNN <mode> | existing rNNN <mode> | skip: <why> | check: <why>
status	gaps_line	ref	kind	game	parked_on	review_ids	dir	proposed	quote
built r409 game-design.progression.unlock-pace.an-unlock-challenge-is-a-chore (shrine bullet); 'lunar coins are annoying' stays on unlock-pace.unknown	8637	round 349	one-sighting	risk-of-rain-2	game-design.progression.unlock-pace.unknown	63510134	-	lunar coins are annoying; a challenge-gated unlock	scratches the ARPG itch without investing dozens of hours before you feel powerful
built r409 game-design.progression.unlock-pace.the-endgame-is-only-more-unlocks	8776	round 362	one-sighting	risk-of-rain-2	game-design.progression.unlock-pace.unknown	118417284	-	the end game is unlocking a character to do it all again (complaint twin of satisfying-progression)	the end game is unlocking a character so you can do it all over again
built r409 game-design.progression.unlock-pace.some-gear-needs-a-clan	9180	round 384	watch	warframe	game-design.progression.unlock-pace.unknown	6920334	~	clan-locked weapons reachable in a two-player clan (clans as a system)	
built r409 game-design.progression.unlock-pace.levelling-up-feels-like-nothing	9218	round 387	one-sighting	warframe	game-design.progression.unlock-pace.unknown	9690006	-	you do not feel the progression (inverse of satisfying-progression)	you do not feel the progression
built r409 game-design.progression.unlock-pace.the-game-sets-no-goals	9339	round 396	one-sighting	warframe	game-design.progression.unlock-pace.unknown	19719634	-	the game sets no goals for you	requires you to create your own goals
existing r409 re-homed to game-design.punishment-model.dying-costs-nothing	1955	gap 65	open-gap	redfall	game-design.punishment-model.unknown	138688226	-	dying costs nothing, so no stakes (missing negative of .stakes-worth-the-risk)	when you died it just put you at the nearest fast travel point … which made dying rendered useless
built r409 game-design.punishment-model.one-mistake-locks-content-away	6948	gap 317	open-gap	immortal-unchained	game-design.punishment-model.unknown	59499649	-	one mistake locks content away for good (missable non-achievement content)	Entire 3 side quests with one on which u fail once and u lose access to best weapon in game
built r409 game-design.readability.guidance-feels-patronising	2669	gap 98	one-sighting	the-anacrusis	game-design.readability.unknown	130889109	-	game auto-paths you to the objective and it feels patronising	the game was treating me like an idiot
built r409 game-design.readability.the-numbers-grow-too-big-to-mean-anything	3818	gap 143	one-sighting	terminull-brigade	game-design.readability.unknown	202364661	-	damage numbers scale so high they stop meaning anything	Damage numbers seems arbitrary very quickly, reaching millions even if its your first 5 matches
built r409 game-design.role-design.classes-exist-to-stretch-the-grind	5888	gap 257	open-gap	aliens-fireteam-elite	game-design.role-design.unknown	156056667	-	the class system exists to stretch the playtime (loadout system wanted instead)	As it is now it feel more like an excuse to have you keep playing to level each class.
built r409 game-design.solo-viability.solo-play-keeps-the-multiplayer-rules (both 195921196 bullets); 226851558 stays on punishing-solo	6256	gap 275	open-gap	aliens-fireteam-elite	game-design.solo-viability.punishing-solo	195921196 226851558	-	playing alone still obeys the rules written for other people (countdown, timers)	It's meant to be a multi-player game and they didn't make any changes for when you're playing by yourself.
built r410 game-design.ai-teammates.bots-cost-currency-every-run; 149271537 to the-review-teaches-you-how-to-play; 120026122 stays on punishing-solo	7039	gap 322	open-gap	voidcrisis	game-design.solo-viability.punishing-solo	120026161 120026122 149271537	-	the AI teammates cost in-game currency every run	you have to buy VA's (Mech suit) for the CPU's with in game currency each time to join you on solo play
built r410 game-design.ui-ux.prompts-show-the-wrong-button	1500	gap 41	open-gap	drg-rogue-core	game-design.ui-ux.unknown	226248403	-	on-screen prompts show the default key, not the rebound one	The UI does not update to your keybindings.
existing r410 fits game-design.ui-ux.missing-quality-of-life ('inconvenient and clunky')	1550	gap 44	open-gap	drg-rogue-core	game-design.ui-ux.missing-quality-of-life	226894965	-	fixed unskippable entrance sequence before every run	It takes about 2 Minutes before you "actually" start the run
built r410 game-design.ui-ux.a-default-setting-is-not-what-the-studio-says	2700	gap 100	one-sighting	the-anacrusis	game-design.ui-ux.unknown	130364645	-	a setting the studio says is off ships on by default	I didn't like having voice chat enabled by default (which devs state in several threads is turned off by default).
built r410 game-design.ui-ux.menus-are-slow-web-pages	3997	gap 151	one-sighting	terminull-brigade	game-design.ui-ux.unknown	204200343	-	shop/event screens are a slow web page loaded into the game	The event screens obviously just load in a website to the game window
built r410 game-design.ui-ux.starts-on-the-highest-settings	4014	gap 152	one-sighting	terminull-brigade	game-design.ui-ux.unknown	204349358	-	default graphics set to maximum before first launch	why are default graphics set to complete max like WHY
existing r410 re-homed to game-design.ui-ux.managing-the-inventory-is-a-chore	4377	gap 169	one-sighting	terminull-brigade	game-design.ui-ux.missing-quality-of-life	216458142	-	player must sort through a volume of worthless items	
built r410 game-design.ui-ux.forgets-your-settings-between-launches	4617	gap 192	one-sighting	aliens-fireteam-elite	game-design.ui-ux.missing-quality-of-life	99792547	-	game forgets its own settings/EULA between launches	every time I launch the game I have to re-accept the EULA and do brightness/subtitle settings.
built r410 review.takes-back-an-earlier-complaint	4840	gap 205	open-gap	aliens-fireteam-elite	game-design.ui-ux.hides-information	102406273	?	review takes back a complaint that was the player's own mistake	Ok i was mistaken. i did not talk to NPC on the Endeavour to enable the next mission.
built r410 game-design.ui-ux.prompts-show-the-wrong-button	4946	gap 210	open-gap	aliens-fireteam-elite	game-design.ui-ux.unknown	105420602	-	the game shows the wrong controller's button prompts (input display)	if you intend on playing this game with an Xbox controller the stupid game will display PS icons.
existing r410 re-homed to game-design.readability.the-numbers-grow-too-big-to-mean-anything (definition widened to health)	5228	gap 224	open-gap	aliens-fireteam-elite	game-design.ui-ux.unknown	113401872	-	health number displayed too big to feel fragile	your hitpoints are counted at 1,500 which didn't give me a sense of vulnerability like having it counted by 100 would.
built r410 game-design.ui-ux.several-loadouts-can-be-saved	6275	gap 276	open-gap	aliens-fireteam-elite	game-design.ui-ux.quality-of-life-is-looked-after	192190824	+	positive of only-one-build-can-be-saved-at-a-time: multiple saved build presets	you can make a number of class and weapon presets.
existing r410 re-homed to game-design.ui-ux.no-place-to-test-a-build	6567	gap 293	open-gap	aliens-fireteam-elite	game-design.ui-ux.unknown	222184315	-	you cannot try a weapon before you spend the grind on it	Grinded for a weapon. Got the weapon. Weapon is trash. You cannot test the gun before buying.
built r410 game-design.ui-ux.fast-travel-comes-late-and-costs (with 115056932, 119730016)	6969	gap 318	open-gap	immortal-unchained	game-design.ui-ux.missing-quality-of-life	44643684 115056932 119730016	-	the convenience (fast travel) exists and is gated behind progress and payment	having to spend 5k bits to unlock fast travel at each shrine was a bit annoying
built r410 game-design.ui-ux.lets-you-waste-a-consumable	8383	round 330	one-sighting	remnant-2	game-design.ui-ux.missing-quality-of-life	154242443	-	ui-ux.lets-you-waste-a-consumable-that-does-nothing	why tf would the game let me use items for healing or clearing status when I am uninjured
existing r410 re-homed to game-design.ui-ux.does-not-support-my-screen-shape	8452	round 333	one-sighting	remnant-2	game-design.ui-ux.unknown	168624915	-	ui-ux.the-hud-cannot-be-moved-or-scaled	there isnt an option to adjust HUD, so i just couldn't see my ammo/skills without turning my head
built r410 game-design.co-op-design.the-map-is-not-shared	8581	round 342	one-sighting	remnant-2	game-design.ui-ux.missing-quality-of-life	222197668	-	map exploration is not shared between co-op players	
built r410 game-design.ui-ux.the-map-has-no-compass	8597	round 344	one-sighting	remnant-2	game-design.ui-ux.hard-to-navigate	234695004	-	the minimap has no cardinal directions	like ChatGPT before ChatGPT
built r410 game-design.ui-ux.no-confirmation-before-a-costly-action	8606	round 345	one-sighting	risk-of-rain-2	game-design.ui-ux.missing-quality-of-life	50152404	-	a run lost by quitting to the menu with no confirmation prompt	
existing r410 fits game-design.progression.unlock-pace.grind-feels-earned	8761	round 361	watch	risk-of-rain-2	grind-feels-earned	114747985	+	approving twin of the-strongest-options-are-locked-behind-challenges	getting the better version feels good because you are rewarded for playing well
existing r411 re-homed to game-design.progression.unlock-pace.an-unlock-challenge-is-a-chore	8669	round 353	one-sighting	risk-of-rain-2	grindy	78908676	-	a cosmetic unlock behind a challenge (25 hours, no Huntress skin)	
built r411 game-design.progression.unlock-pace.the-grind-crowds-out-the-game (the 'takes precedence' line; the other stays on grindy)	9299	round 393	one-sighting	warframe	grindy	15627119	-	the grind cycle displaces the gameplay itself	takes precedence over the gameplay itself
existing r411 fits game-design.replayability.keeps-pulling-you-back	8836	round 366	one-sighting	risk-of-rain-2	keeps-pulling-you-back	139344421	+	all achievements and still want to play (+ inverse of nothing-left-to-chase, no home)	all achievements and I still want to play
existing r411 fits game-design.level-design.the-best-things-are-hidden-behind-a-guide	8425	round 332	one-sighting	remnant-2	level-design.the-best-things-are-hidden-behind-a-guide	163946710	-	level-design.secrets-have-no-tell	there are a lot of illusory walls, which have 0 (i mean none, zero) indication or logic behind them.
built r411 game-design.level-design.the-boss-arena-can-roll-badly	8606	round 345	one-sighting	risk-of-rain-2	level-design.badly-laid-out	49884651	-	a boss arena rolled into a cramped space or a cliff edge	
built r411 live-ops.patch-quality.fixes-what-suits-the-studio-first	1226	gap 31	open-gap	helldivers-2	live-ops.abandonment.known-bugs-never-fixed	206818861	?	`live-ops.patch-quality.fixes-what-suits-it-first`	they will happily step forward to fix a bug that favors the player within a day.
built r411 live-ops.abandonment.a-system-was-left-half-finished	1308	gap 34	open-gap	helldivers-2	live-ops.abandonment.unknown	223944615	?	`.a-system-was-left-half-finished`	abandoned systems: new ship modules nope. updating weapon customization na.
built r411 live-ops.abandonment.its-failure-cancelled-other-games (the sequels line; the closure line stays on the-owner-pulled-the-plug)	2305	gap 82	open-gap	redfall	live-ops.abandonment.the-owner-pulled-the-plug	220458097	-	this game's failure got the studio's other projects cancelled	since older devs left, PREY 2, Dishonered 3 and many other projects got canned.
built r411 community.developer-communication.what-a-cheater-took-was-given-back	7114	gap 328	one-sighting	arc-raiders	live-ops.abandonment.still-supported	208760405	+	banned the cheater and made me whole	they was ban'd and all my items i lost have been returned today 24hrs after the fact
built r411 publishing.monetisation-practice.what-i-bought-was-weakened-later	655	gap 15	open-gap	helldivers-2	live-ops.patch-quality.nerfs-what-players-liked	163948394	?	`publishing.monetisation-practice.what-i-bought-was-weakened-later`	when you buy a new gun with super credits they nerf it in under a week which makes you very spiteful
built r411 live-ops.patch-quality.removes-what-players-worked-out	1332	gap 35	open-gap	helldivers-2	live-ops.patch-quality.nerfs-what-players-liked	223944412	?	`.removes-what-players-worked-out`	or ‘fixing’ creative ways players go about playing the game.
existing r411 re-homed to live-ops.patch-quality.the-notes-do-not-match-the-patch	2992	gap 110	one-sighting	the-anacrusis	live-ops.patch-quality.content-thin	146072452	-	a named update promised a fix and did not deliver it	Supposedly the update that was going to improve the audio as a whole but I couldn't actually find almost any improvements
existing r411 re-homed to live-ops.patch-quality.replaced-the-core-loop-with-a-different-one	3635	gap 135	one-sighting	terminull-brigade	live-ops.patch-quality.forced-unwanted-feature	202085509	-	an update moved the game out of its genre (roguelike to gear-based)	shifts the game away from it's supposed rogue like structure
built r411 live-ops.patch-quality.the-planned-content-is-only-cosmetics	4505	gap 187	one-sighting	aliens-fireteam-elite	live-ops.patch-quality.content-thin	98588270	-	announced roadmap is cosmetics only, read as verdict on game's future	All future paid content is cosmetic... without real content this will die fast.
built r411 live-ops.patch-quality.a-fix-was-rolled-back	4631	gap 193	one-sighting	aliens-fireteam-elite	live-ops.patch-quality.unknown	99805384	?	the fix shipped and was then reverted	They patched a fix, then immediately reverted the fix
built r411 live-ops.patch-quality.the-fix-came-too-late	4802	gap 202	open-gap	aliens-fireteam-elite	live-ops.patch-quality.unknown	100698702	-	the fix arrived after the players had gone	By the time 'Quick Play' dropped, the game's population had dwindled to nothing
built r411 live-ops.patch-quality.the-planned-content-is-only-cosmetics	5179	gap 187	open-gap	aliens-fireteam-elite	live-ops.patch-quality.content-thin	113090707	-	gap 187 (announced roadmap contains only cosmetics) checked and not closed; stays at one sighting	Emotes and skins are no replacement for more and expanded levels.
built r411 live-ops.patch-quality.an-update-reads-as-a-rescue-attempt	5309	gap 229	open-gap	aliens-fireteam-elite	live-ops.patch-quality.unknown	117010451	-	the new add-on reads as a rescue attempt	the new DLC coming out seems more like a last ditch effort to save the game than actually decent content.
existing r411 fits live-ops.patch-quality.removed-a-feature	8678	round 354	one-sighting	risk-of-rain-2	live-ops.patch-quality.removed-a-feature	82462032	-	misses the construction golem from the early-access intro	needs to be optimized
built r411 live-ops.patch-quality.each-update-is-a-content-island	9314	round 394	one-sighting	warframe	live-ops.patch-quality.unknown	17323915	-	each major update is a "content island"	content island
built r412 live-ops.update-cadence.one-region-gets-content-first	7387	gap 344	one-sighting	arc-raiders	live-ops.update-cadence.too-slow	228603070	-	one region gets content the others wait for	embark is giving China exclusive content while the we are being force to wait until October
existing r412 fits live-ops.update-cadence.too-slow ('feels abandoned')	7399	round 286	one-sighting	arc-raiders	live-ops.update-cadence.too-slow	232304517	-	earned cosmetic currency has nothing new to buy	I've accumulated enough currency to buy an entire Deck.
built r412 live-ops.patch-quality.new-items-thin-out-the-pool	8733	round 359	one-sighting	risk-of-rain-2	live-ops.update-cadence.unknown	102412062	-	new items thin out the pool	adding more items is fun but dilutes the item pool, especially when the items are bad
built r412 live-ops.update-cadence.promised-content-keeps-slipping	8868	round 368	one-sighting	risk-of-rain-2	live-ops.update-cadence.too-slow	149731343	-	promised content keeps slipping its date (delayed DLC)	the lack of intuitive matchmaking is holding back some people from co-op with strangers
built r412 live-ops.update-cadence.slow-but-worth-the-wait	9254	round 390	one-sighting	warframe	live-ops.update-cadence.unknown	12192077	+	big updates are rare but worth the wait	
built r412 marketing.discovery.a-reward-campaign-farms-installs	4373	gap 165	one-sighting	terminull-brigade	marketing.unknown	214146426	-	reward campaign farms downloads for store ranking, not players	
existing r412 fits marketing.discovery.came-free-with-hardware (the line says only that)	1698	gap 52	open-gap	redfall	marketing.discovery.came-free-with-hardware	137836468 137851053	-	`publishing.price.not-worth-it-at-any-price`	Got it for free, still think its not worth it.
existing r412 re-homed to review.discloses-a-free-copy-from-the-studio	2748	gap 101	one-sighting	the-anacrusis	marketing.discovery.someone-gave-it-to-me	134169266	~	reviewer discloses the studio gave him the game (conflict disclosure)	I got this game for free from one of the developers, but I'd like to think that didn't influence my opinion
existing r412 re-homed to review.answers-a-claim-made-in-another-review	3551	gap 132	one-sighting	terminull-brigade	marketing.discovery.installed-it-to-claim-an-outside-reward	201754661	~	reward-quest arrival rebuts that his review is dishonest; inverse of says-the-other-reviews-are-not-about-the-game	just because I came from discord does not mean I automatically was going to leave a bad review
built r412 marketing.discovery.sat-unplayed-before-it-clicked	6159	gap 270	open-gap	aliens-fireteam-elite	marketing.discovery.unknown	183502378	+	the game sat unplayed in the library before it was tried	it left Sitting in my steam library for probably over a year before I actually played it properly
built r412 marketing.discovery.sat-unplayed-before-it-clicked	6334	gap 270	open-gap	aliens-fireteam-elite	marketing.discovery.unknown	194929249	+	possible second sighting of gap 270 (sat unplayed in library), held open	I slept on this game and wish that I hadn't.
built r412 marketing.discovery.bought-it-ahead-of-the-sequel	6766	gap 306	open-gap	aliens-fireteam-elite	marketing.discovery.unknown	232857207	?	bought the first game because the sequel is coming	Got the game just so I could see what's going on with the story and see how the classes work until Fire Elite 2 comes out.
built r412 marketing.discovery.launched-in-the-shadow-of-a-bigger-game	8475	round 334	one-sighting	remnant-2	marketing.discovery.nobody-ever-heard-of-it	174461518	-	marketing.discovery.launched-in-the-shadow-of-a-bigger-game	probably it was just unlucky to be launched together with another big title.
built r412 marketing.discovery.came-from-a-rival-that-failed-them	9016	round 375	one-sighting	risk-of-rain-2	marketing.discovery.unknown	188450586	+	arrived from a rival game's failure (left ARK's broken multiplayer)	
built r412 marketing.discovery.found-it-in-the-store	9317	round 394	one-sighting	warframe	marketing.discovery.unknown	18049800	~	found the game in the Steam queue	showed up in my Steam queue
built r412 marketing.expectation-management.sold-as-finished-and-unfinished-at-once	1681	gap 51	open-gap	drg-rogue-core	marketing.expectation-management.unknown	231767228	-	store sells the game as 1.0 and as early access at once	released at its current price as "1.0" and yet also an early access game? These are seemingly contradicting
built r412 marketing.positioning.does-not-know-what-it-is	8581	round 342	one-sighting	remnant-2	marketing.positioning.unknown	222191203	-	the game "does not know what it is" (Dark Souls, Helldivers and Zelda at once)	
built r412 marketing.positioning.a-game-not-a-service	8621	round 347	one-sighting	risk-of-rain-2	marketing.positioning.unknown	55619107	+	feels like a game, not a service	hard to find the teleporter at times
skip: the 'first game had X' tally is open with Rico	8832	round 366	watch	risk-of-rain-2	marketing.positioning.unknown	139711203	~	prefers the earlier game (first-game-had-X tally, Rico-open)	I personally love Risk of Rain 1 more - preferred the platformer over the 3D design
existing r412 fits marketing.promise-vs-reality.claim-was-untrue	2430	gap 88	one-sighting	the-anacrusis	marketing.promise-vs-reality.claim-was-untrue	113518559	-	update shipped as new content that was already in the build	was already in the game including episode 5 at the start of the early access launch, it could be accessed via the console
built r413 marketing.reputation.also-recommends-another-game	934	gap 22	open-gap	helldivers-2	marketing.reputation.unknown	165434184	~	`marketing.reputation.also-recommends-another-game`	Also try Deep Rock Galactic
built r413 marketing.reputation.good-material-for-a-video	1202	gap 30	open-gap	helldivers-2	marketing.reputation.unknown	186862399	?	`marketing.reputation.good-material-for-a-video`	As a creator, I've got hours and hours of content from it
existing r413 fits marketing.reputation.judged-unfairly (the engine is the cause; the tree records the feeling)	1357	gap 36	open-gap	helldivers-2	marketing.reputation.judged-unfairly	225615617	?	`.the-studio-is-held-back-by-its-tools`	Not to mention AH did this game on Abandoned engine (Autodesk Stingray)
built r413 review.written-to-pull-the-score-back	4452	gap 182	one-sighting	terminull-brigade	marketing.reputation.judged-unfairly	229142544	+	positive review written on purpose to pull the score back	
built r413 marketing.reputation.wants-this-formula-in-another-licence	5298	gap 228	open-gap	aliens-fireteam-elite	marketing.reputation.unknown	118861323	+	player wants this formula applied to another licence by the studio	Fingers crossed for PREDATOR: Fireteam Elite or STARSHIP TROOPERS: Fireteam Elite from the devs.
built r413 marketing.reputation.traces-the-studios-lineage	6134	gap 268	open-gap	aliens-fireteam-elite	marketing.reputation.unknown	179031332	?	the reviewer traces the studio back through its corporate history (renamed studio)	`Cold Iron` is pretty much our ol' pals `Cryptic`... Those guys. An MMO crowd.
built r413 marketing.reputation.still-holds-up-years-later	6689	gap 300	open-gap	aliens-fireteam-elite	marketing.reputation.unknown	223164866	+	positive of the-design-is-a-decade-behind: it still holds up years after release	this game STILL holds up to this day from when it was released.
built r413 marketing.reputation.streamers-play-a-different-game	7124	gap 329	one-sighting	arc-raiders	marketing.reputation.praise-is-undeserved	209075085	-	the game the streamers show is not the game the average player gets	I feel like this game was made for streamers, and streamers alone.
built r413 marketing.reputation.suspects-the-early-ratings	7619	round 296	one-sighting	space-marine-2	marketing.reputation.unknown	175775436	-	charge about the studio's pre-release review handling	getting 80% approval rating before the game was even released
built r413 marketing.reputation.a-rebuke-to-the-rest-of-the-industry	7807	round 305	watch	space-marine-2	marketing.reputation.old-fashioned-and-better-for-it	182853251	+	a rebuke to the rest of the industry, no era named (split a marketing.reputation mode on a third)	a refreshing reminder of what the gaming industry has strayed from
built r413 marketing.reputation.a-rebuke-to-the-rest-of-the-industry	7808	round 305	watch	space-marine-2	marketing.reputation.old-fashioned-and-better-for-it	182853784	+	a rebuke to the rest of the industry, no era named (split a marketing.reputation mode on a third)	made with the player in mind - not a soulless product designed to milk us
built r413 marketing.reputation.likes-the-people-running-the-studio	7829	round 305	one-sighting	space-marine-2	marketing.reputation.unknown	183511748	+	the studio's public positions drew me in (inverse of studio-politics-put-me-off)	best CEO at Saber
built r413 marketing.reputation.worse-now-than-at-launch	7880	round 308	one-sighting	space-marine-2	marketing.reputation.unknown	194969567	-	.worse-now-than-at-launch	From game of the year to trash. Epic fall from grace.
existing r413 fits marketing.reputation.praise-is-undeserved ('overrated')	8752	round 360	one-sighting	risk-of-rain-2	marketing.reputation.praise-is-undeserved	111773633	-	a review that points to other reviews for its verdict (borrowed verdict)	overrated, the top negative reviews nail why
existing r413 fits game-design.enemy-design.memorable-specials	8675	round 354	watch	risk-of-rain-2	memorable-specials	79326857	+	the 1.0 argument, other side: the final boss release was amazing	the final boss release was bloody amazing
built r413 publishing.monetisation-practice.sells-with-restraint	7843	round 306	one-sighting	space-marine-2	monetisation-practice.unknown	185057274	+	not a live service as praise: the cadence of selling is restrained	Not your typical live service game where they drop skins and emotes to purchase every other day.
existing r413 re-homed to marketing.discovery.i-bought-it-for-other-people	8890	round 369	one-sighting	risk-of-rain-2	much-better-with-friends	155515469	+	buying copies for friends has no mode of its own	gifted 2 of my friends this just to play with them
built r413 narrative.characters-writing.in-jokes-replace-the-writing (the in-jokes line; the 'lifeless survivors' line stays on flat-or-annoying)	2464	gap 90	one-sighting	the-anacrusis	narrative.characters-writing.flat-or-annoying	117387804	-	character dialogue is studio Discord in-jokes, displacing lore and directional lines	usually pertaining to some inside joke within the community Discord.
built r413 narrative.characters-writing.the-best-lines-rarely-play	3135	gap 114	one-sighting	the-anacrusis	narrative.characters-writing.unknown	166892773	+	good writing exists but line-weighting means the game rarely plays it	you're not gonna get this all from just one hour
built r413 narrative.characters-writing.your-own-character-is-nobody	5756	gap 251	open-gap	aliens-fireteam-elite	narrative.characters-writing.unknown	142633262	-	the player's own character is nobody	You character - is basic as hell - basically , its YOU in the game.
existing r414 re-homed to narrative.story.your-choices-change-the-story	6908	gap 315	open-gap	immortal-unchained	narrative.characters-writing.funny-or-memorable	48489315	+	your choice decides an NPC's fate (redeem or doom)	be granted the opportunity to offer them redemption, or doom them by how you play it all out.
built r414 narrative.story.the-full-story-is-in-a-tie-in-book	4830	gap 204	open-gap	aliens-fireteam-elite	narrative.story.unknown	101975553	?	the story is finished in a book outside the game	If you want the full story behind the game, read the prequel novel Aliens: Infiltrator.
built r414 narrative.story.makes-sense-only-if-you-know-the-source	6027	gap 263	open-gap	aliens-fireteam-elite	narrative.story.thin-or-forgettable	169885487	-	the story leans on source material (books, tabletop) most players have not read	they took most of the story beats and lore from the books and table tops... which the majority of players aren't going to be familiar with.
built r414 narrative.story.the-last-games-hero-is-left-out	8091	round 318	one-sighting	remnant-2	narrative.story.unknown	143171238	-	the previous game's protagonist is dropped without a word	Your character from Remnant from the ashes Is completly missing and there is no follow up on them.
built r414 narrative.story.the-play-and-the-story-do-not-match	8555	round 339	one-sighting	remnant-2	narrative.story.unknown	201612330	-	story and gameplay disconnect (a quip then a curb-stomp of a god)	
built r414 narrative.story.spoils-the-earlier-game	8564	round 340	one-sighting	remnant-2	narrative.story.unknown	209860050	-	the sequel spoils the first game early	
built r414 narrative.story.earlier-choices-do-not-carry-over	8573	round 341	one-sighting	remnant-2	narrative.story.unknown	217281349	-	the choices made in the first game do not carry into the sequel	
built r414 narrative.story.kept-cryptic-on-purpose	9315	round 394	one-sighting	warframe	narrative.story.unknown	17323915	~	the story is intentionally cryptic so players speculate (neutral)	
built r414 narrative.tone.cosmetics-break-the-tone	5418	gap 234	open-gap	aliens-fireteam-elite	narrative.tone.wrong-tone-for-the-setting	125456106	-	the cosmetics clash with the tone of the game	Emotes, Weapon Decals and even some of the Hats ruin the tone of the game and can destroy your immersion
existing r414 fits narrative.world-and-setting.setting-feels-thin ('hollow set pieces', 'devoid of life')	2247	gap 61	watch	redfall	narrative.world-and-setting.setting-feels-thin	212739989	?	'hollow set pieces' - ambiguous: facade you cannot enter vs empty room	Many buildings exist as hollow set pieces
built r414 narrative.world-and-setting.the-world-is-never-explained	2877	gap 106	one-sighting	the-anacrusis	narrative.world-and-setting.setting-feels-thin	140195700	-	environmental storytelling missing: nothing in the level says what happened	You don't really feel like an outbreak happened here
existing r414 fits narrative.world-and-setting.world-worth-exploring (environmental storytelling already sits there, 6 sightings)	3334	gap 123	one-sighting	terminull-brigade	narrative.world-and-setting.world-worth-exploring	201168965	+	positive environmental storytelling: the level tells its own story	That abandoned lab level told a better story through emails and bloodstains than most games do with cutscenes.
built r414 narrative.world-and-setting.adds-to-the-source-without-harming-it	5339	gap 231	open-gap	aliens-fireteam-elite	narrative.world-and-setting.unknown	121546450	+	positive twin of the-additions-do-not-belong-in-the-source: adds without damaging	Well made, adds to the story (but in my opinion hasn't ruined it)
built r414 narrative.world-and-setting.the-world-is-never-explained	5447	gap 236	open-gap	aliens-fireteam-elite	narrative.world-and-setting.unknown	125456106	-	the lore is in the game and the game never explains it	Interesting lore once you actually can be bothered to read into it as the game doesn't explain most of it.
built r414 narrative.world-and-setting.works-for-people-new-to-the-source	6650	gap 297	open-gap	aliens-fireteam-elite	narrative.world-and-setting.unknown	223260202	+	counterpart of only-worth-it-if-you-already-love-the-source: works for non-fans	I am not a fan of franchise or anything but this game was so good for me.
built r414 narrative.world-and-setting.the-faithful-version-must-be-unlocked	6752	gap 305	open-gap	aliens-fireteam-elite	narrative.world-and-setting.unknown	229212351	-	the iconic weapon is present and wrong until you unlock the right one	video game devs are afraid of giving the pulse rifle a 99 round magazine right off the bat
built r414 narrative.world-and-setting.what-you-do-never-changes-the-world	7309	gap 341	one-sighting	arc-raiders	narrative.world-and-setting.unknown	220132764	-	wants the runs to change something in the world	I want it to feel like our runs actually move the needle for the world.
skip: the 'first game had X' tally (Rico)	8341	round 328	watch	remnant-2	narrative.world-and-setting.unknown	151192360	-	marketing.positioning.the-sequel-dropped-something-the-first-game-had (pattern; Rico's call) - missed the desert biome	Missed the desert biome though...
built r414 narrative.story.a-twist-took-away-the-fantasy	9253	round 390	one-sighting	warframe	narrative.world-and-setting.breaks-its-own-fiction	12111253	-	the twist ruined it for me (mid-game reveal removes the stakes)	
built r414 game-design.ui-ux.an-option-exists-and-is-hard-to-find	7734	round 301	one-sighting	space-marine-2	new-player-experience.poorly-explained	177612801	-	the setting exists and the game does not show it (ui-ux mode)	
built r415 game-design.new-player-experience.guides-you-without-holding-your-hand	8296	round 326	one-sighting	remnant-2	new-player-experience.unknown	149259423	+	new-player-experience.tells-you-where-not-how	telling you which zone you're supposed to be in but not explicitly pointing you in correct direction.
built r415 game-design.new-player-experience.learn-it-alone-before-joining-others	8653	round 351	one-sighting	risk-of-rain-2	new-player-experience.unknown	68329495	~	the game as a place newcomers should not bring a group	
existing r415 re-homed to game-design.progression.complexity.requires-outside-research	9114	round 380	one-sighting	risk-of-rain-2	new-player-experience.needs-carrying	222210554	-	needs a guide/wiki/videos to understand the game (the guide half has no mode)	can feel confusing without an experienced player or a wiki
existing r415 re-homed to game-design.progression.complexity.requires-outside-research	9141	round 381	one-sighting	risk-of-rain-2	new-player-experience.needs-carrying	226907406	~	needs a guide/wiki/videos to understand the game (the guide half has no mode)	for less confusion there's a good assortment of youtube videos
existing r415 fits game-design.progression.unlock-pace.nothing-accumulates (the wish is the same fact)	8644	round 350	one-sighting	risk-of-rain-2	nothing-accumulates	65664477	-	wants meta-progression the genre does not give	Gearbox bought the IP and I think that's fine
built r415 community.social-features.nothing-shows-others-what-you-earned (bullet split; the first half stays on nothing-left-to-chase)	9230	round 388	one-sighting	warframe	nothing-left-to-chase	10209689	~	wants player-to-player recognition for time invested	player-to-player recognition
built r415 community.social-features.the-studio-chat-helps-you-find-a-team	8653	round 351	watch	risk-of-rain-2	only-the-studio-chat-fills-a-lobby	68329334	+	the public Discord helps you find people (said as a help; mode is -)	
built r415 game-design.power-balance.a-weapon-fails-at-its-own-job	1077	gap 26	watch	helldivers-2	power-balance.some-options-are-useless	165939159	-	negative inverse: weapon fails to behave as the real thing would	shooting an armored enemy with a recoiless rifle feels incredibly underwhelming, even though thats why recoiless rifles exist
built r415 production.content-amount.worried-it-will-run-dry	8614	round 346	one-sighting	risk-of-rain-2	production.content-amount.unknown	51104580	-	fear the game will burn out	
existing r415 re-homed to production.content-amount.too-little	8706	round 357	one-sighting	risk-of-rain-2	production.content-amount.unknown	95808502	~	fun but short	fun but short
